"Substance name","Description","EC No.","CAS No.","Reason for inclusion","Date of inclusion","IUCLID dataset","Remarks"
"Ammonium dichromate","","232-143-1","7789-09-5","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""Toxic for reproduction (Article 57c)","18-Jun-2010","https://echa.europa.eu/documents/10162/e3fb1a7c-4bd5-4540-9997-fc9f040c1a2f",""
"Acrylamide","","201-173-7","79-06-1","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)","30-Mar-2010","https://echa.europa.eu/documents/10162/13141b6e-f285-44bf-9868-d5e089875101",""
"Tris(2-chloroethyl) phosphate","","204-118-5","115-96-8","Toxic for reproduction (Article 57c)","13-Jan-2010","https://echa.europa.eu/documents/10162/d36f5718-6e5c-4fca-9e31-efed9c50d0d0",""
"Pitch, coal tar, high-temp.","-","266-028-2","65996-93-2","Carcinogenic (Article 57a)""""PBT (Article 57d)""""vPvB (Article 57e)","13-Jan-2010","https://echa.europa.eu/documents/10162/d3d19672-64d5-47f4-aa47-66729f6990ec",""
"Lead sulfochromate yellow (C.I. Pigment Yellow 34)","-","215-693-7","1344-37-2","Carcinogenic (Article 57a)""""Toxic for reproduction (Article 57c)","13-Jan-2010","https://echa.europa.eu/documents/10162/cbb77a48-22b8-4888-b485-8e85731648d2",""
"Lead chromate molybdate sulphate red (C.I. Pigment Red 104)","-","235-759-9","12656-85-8","Carcinogenic (Article 57a)""""Toxic for reproduction (Article 57c)","13-Jan-2010","https://echa.europa.eu/documents/10162/efa8a662-a744-45f7-a507-14a3dcfc3d15",""
"Lead chromate","","231-846-0","7758-97-6","Carcinogenic (Article 57a)""""Toxic for reproduction (Article 57c)","13-Jan-2010","https://echa.europa.eu/documents/10162/df3d989f-4229-497e-942c-44763337dcf2",""
"Diisobutyl phthalate","","201-553-2","84-69-5","Toxic for reproduction (Article 57c)""""Endocrine disrupting properties (Article 57(f) - human health)","13-Jan-2010","https://echa.europa.eu/documents/10162/5f086082-c721-442d-8b7b-a6eb49ffb3ab",""
"Anthracene oil, anthracene-low","-","292-604-8","90640-82-7","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""PBT (Article 57d)""""vPvB (Article 57e)","13-Jan-2010","https://echa.europa.eu/documents/10162/ce2619c5-654b-4934-a835-a3e2b00d4e13","Does not meet the criteria for identification as a carcinogen if it contains &lt; 0.005 % (w/w) benzo[a]pyrene (EINECS No 200-028-5) and &lt; 0.1 % w/w benzene (EINECS No 200-753-7). Does not meet the criteria for identification as a mutagen if it contains &lt; 0.1 % w/w benzene (EINECS No 200-753-7)."
"Anthracene oil, anthracene paste, distn. lights","-","295-278-5","91995-17-4","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""PBT (Article 57d)""""vPvB (Article 57e)","13-Jan-2010","https://echa.europa.eu/documents/10162/2a5afd0a-9ce1-4b37-acc9-942143c01c7a","Does not meet the criteria for identification as a carcinogen if it contains &lt; 0.005 % (w/w) benzo[a]pyrene (EINECS No 200-028-5) and &lt; 0.1 % w/w benzene (EINECS No 200-753-7). Does not meet the criteria for identification as a mutagen if it contains &lt; 0.1 % w/w benzene (EINECS No 200-753-7)."
"Anthracene oil, anthracene paste, anthracene fraction","-","295-275-9","91995-15-2","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""PBT (Article 57d)""""vPvB (Article 57e)","13-Jan-2010","https://echa.europa.eu/documents/10162/4efcaa35-8b9f-4b19-9f81-9f1fb98533b2","Does not meet the criteria for identification as a carcinogen if it contains &lt; 0.005 % (w/w) benzo[a]pyrene (EINECS No 200-028-5) and &lt; 0.1 % w/w benzene (EINECS No 200-753-7). Does not meet the criteria for identification as a mutagen if it contains &lt; 0.1 % w/w benzene (EINECS No 200-753-7)."
"Anthracene oil, anthracene paste","-","292-603-2","90640-81-6","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""PBT (Article 57d)""""vPvB (Article 57e)","13-Jan-2010","https://echa.europa.eu/documents/10162/ad049eea-4aeb-4741-9574-ae6c4bd02b66","Does not meet the criteria for identification as a carcinogen if it contains &lt; 0.005 % (w/w) benzo[a]pyrene (EINECS No 200-028-5) and &lt; 0.1 % w/w benzene (EINECS No 200-753-7). Does not meet the criteria for identification as a mutagen if it contains &lt; 0.1 % w/w benzene (EINECS No 200-753-7)."
"Anthracene oil","-","292-602-7","90640-80-5","Carcinogenic (Article 57a)""""PBT (Article 57d)""""vPvB (Article 57e)","13-Jan-2010","https://echa.europa.eu/documents/10162/91cfe38e-ed0d-4c28-b970-bded2289de26","Does not meet the criteria for identification as a carcinogen if it contains &lt; 0.005 % (w/w) benzo[a]pyrene (EINECS No 200-028-5)"
"2,4-dinitrotoluene","","204-450-0","121-14-2","Carcinogenic (Article 57a)","13-Jan-2010","https://echa.europa.eu/documents/10162/a8b8d40f-1cea-4daf-9f49-af3a2b2d50d9",""
"Triethyl arsenate","-","427-700-2","15606-95-8","Carcinogenic (Article 57a)","28-Oct-2008","https://echa.europa.eu/documents/10162/e7756763-29b1-4135-8aa6-2b20d8e672a1",""
"Sodium dichromate","","234-190-3","10588-01-9, 7789-12-0","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""Toxic for reproduction (Article 57c)","28-Oct-2008","https://echa.europa.eu/documents/10162/03566bd3-3a60-40b1-8a7d-86ea5737a0f6",""
"Lead hydrogen arsenate","","232-064-2","7784-40-9","Carcinogenic (Article 57a)""""Toxic for reproduction (Article 57c)","28-Oct-2008","https://echa.europa.eu/documents/10162/f1ac3df6-c52a-4870-847b-1d6a74e1b034",""
"Hexabromocyclododecane (HBCDD)","and all major diastereoisomers identified","-","-","PBT (Article 57d)","28-Oct-2008","https://echa.europa.eu/documents/10162/df4ad28a-899d-4e76-8529-eda8bc6591ae""""https://echa.europa.eu/documents/10162/938b85d2-d87c-480a-b697-bad2e5eced3d""""https://echa.europa.eu/documents/10162/0412300e-9170-4eb7-87c4-9bd3bad4ca42""""https://echa.europa.eu/documents/10162/7b768673-ea38-4822-9712-45b7dca0c2d8""""https://echa.europa.eu/documents/10162/63d654f6-5400-449d-81bb-1aa6518d7ca3",""
"1,2,5,6,9,10-hexabromocyclododecane","","221-695-9","3194-55-6","PBT (Article 57d)","28-Oct-2008","https://echa.europa.eu/documents/10162/df4ad28a-899d-4e76-8529-eda8bc6591ae""""https://echa.europa.eu/documents/10162/938b85d2-d87c-480a-b697-bad2e5eced3d""""https://echa.europa.eu/documents/10162/0412300e-9170-4eb7-87c4-9bd3bad4ca42""""https://echa.europa.eu/documents/10162/7b768673-ea38-4822-9712-45b7dca0c2d8""""https://echa.europa.eu/documents/10162/63d654f6-5400-449d-81bb-1aa6518d7ca3",""
"Hexabromocyclododecane","","247-148-4","25637-99-4","PBT (Article 57d)","28-Oct-2008","https://echa.europa.eu/documents/10162/df4ad28a-899d-4e76-8529-eda8bc6591ae""""https://echa.europa.eu/documents/10162/938b85d2-d87c-480a-b697-bad2e5eced3d""""https://echa.europa.eu/documents/10162/0412300e-9170-4eb7-87c4-9bd3bad4ca42""""https://echa.europa.eu/documents/10162/7b768673-ea38-4822-9712-45b7dca0c2d8""""https://echa.europa.eu/documents/10162/63d654f6-5400-449d-81bb-1aa6518d7ca3",""
"alpha-hexabromocyclododecane","","-","134237-50-6","PBT (Article 57d)","28-Oct-2008","https://echa.europa.eu/documents/10162/df4ad28a-899d-4e76-8529-eda8bc6591ae""""https://echa.europa.eu/documents/10162/938b85d2-d87c-480a-b697-bad2e5eced3d""""https://echa.europa.eu/documents/10162/0412300e-9170-4eb7-87c4-9bd3bad4ca42""""https://echa.europa.eu/documents/10162/7b768673-ea38-4822-9712-45b7dca0c2d8""""https://echa.europa.eu/documents/10162/63d654f6-5400-449d-81bb-1aa6518d7ca3",""
"beta-hexabromocyclododecane","","-","134237-51-7","PBT (Article 57d)","28-Oct-2008","https://echa.europa.eu/documents/10162/df4ad28a-899d-4e76-8529-eda8bc6591ae""""https://echa.europa.eu/documents/10162/938b85d2-d87c-480a-b697-bad2e5eced3d""""https://echa.europa.eu/documents/10162/0412300e-9170-4eb7-87c4-9bd3bad4ca42""""https://echa.europa.eu/documents/10162/7b768673-ea38-4822-9712-45b7dca0c2d8""""https://echa.europa.eu/documents/10162/63d654f6-5400-449d-81bb-1aa6518d7ca3",""
"gamma-hexabromocyclododecane","","-","134237-52-8","PBT (Article 57d)","28-Oct-2008","https://echa.europa.eu/documents/10162/df4ad28a-899d-4e76-8529-eda8bc6591ae""""https://echa.europa.eu/documents/10162/938b85d2-d87c-480a-b697-bad2e5eced3d""""https://echa.europa.eu/documents/10162/0412300e-9170-4eb7-87c4-9bd3bad4ca42""""https://echa.europa.eu/documents/10162/7b768673-ea38-4822-9712-45b7dca0c2d8""""https://echa.europa.eu/documents/10162/63d654f6-5400-449d-81bb-1aa6518d7ca3",""
"Dibutyl phthalate (DBP)","","201-557-4","84-74-2","Toxic for reproduction (Article 57c)""""Endocrine disrupting properties (Article 57(f) - environment)""""Endocrine disrupting properties (Article 57(f) - human health)","28-Oct-2008","https://echa.europa.eu/documents/10162/3686ef70-c4fc-2824-7fe5-23a1ddb5b06c",""
"Diarsenic trioxide","","215-481-4","1327-53-3","Carcinogenic (Article 57a)","28-Oct-2008","https://echa.europa.eu/documents/10162/03f099fc-0057-49d9-a816-24c44d69b5c1",""
"Diarsenic pentaoxide","","215-116-9","1303-28-2","Carcinogenic (Article 57a)","28-Oct-2008","https://echa.europa.eu/documents/10162/76037d34-1e8c-405e-b594-8fe837e6095e",""
"Cobalt dichloride","","231-589-4","7646-79-9","Carcinogenic (Article 57a)""""Toxic for reproduction (Article 57c)","28-Oct-2008","https://echa.europa.eu/documents/10162/383cf518-9e20-495c-bbcf-8875b9373714",""
"Bis(tributyltin) oxide (TBTO)","","200-268-0","56-35-9","PBT (Article 57d)","28-Oct-2008","https://echa.europa.eu/documents/10162/e7faa0f6-cb40-4930-8931-537d261e43ff",""
"Bis (2-ethylhexyl)phthalate (DEHP)","","204-211-0","117-81-7","Toxic for reproduction (Article 57c)""""Endocrine disrupting properties (Article 57(f) - environment)""""Endocrine disrupting properties (Article 57(f) - human health)","28-Oct-2008","https://echa.europa.eu/documents/10162/331e209a-627f-4533-8690-fd33b74f305d",""
"Benzyl butyl phthalate (BBP)","","201-622-7","85-68-7","Toxic for reproduction (Article 57c)""""Endocrine disrupting properties (Article 57(f) - human health)","28-Oct-2008","https://echa.europa.eu/documents/10162/20b09a46-f289-4e35-92d2-9cd039e71ba5",""
"Anthracene","","204-371-1","120-12-7","PBT (Article 57d)","28-Oct-2008","https://echa.europa.eu/documents/10162/c5f3267f-609d-4ccb-8645-5b7e02d3946c",""
"Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins)","","287-476-5","85535-84-8","PBT (Article 57d)""""vPvB (Article 57e)","28-Oct-2008","https://echa.europa.eu/documents/10162/c0c51b06-7e2e-4934-b46f-0ba82015047c",""
"5-tert-butyl-2,4,6-trinitro-m-xylene (Musk xylene)","","201-329-4","81-15-2","vPvB (Article 57e)","28-Oct-2008","https://echa.europa.eu/documents/10162/e8716cf9-db7f-4073-88fa-18dd4480c61f",""
"4,4'- Diaminodiphenylmethane (MDA)","","202-974-4","101-77-9","Carcinogenic (Article 57a)","28-Oct-2008","https://echa.europa.eu/documents/10162/1c864bd5-399d-49a2-880b-a8ad54d458b5",""
